epoch,train_loss,val_loss,miou,iou_background,iou_road,iou_sidewalk,iou_vehicle,iou_pedestrian
1,0.5709,0.3382,0.4868,0.9242,0.8378,0.3788,0.2930,0.0000
2,0.2623,0.2129,0.5925,0.9276,0.9387,0.6787,0.4177,0.0000
3,0.2017,0.1743,0.6432,0.9302,0.9401,0.7670,0.4308,0.1478
4,0.1783,0.3460,0.5279,0.9093,0.9236,0.5132,0.1699,0.1234
5,0.1748,0.2018,0.6288,0.8897,0.9536,0.8053,0.3313,0.1642
6,0.1436,0.1385,0.6765,0.9371,0.9492,0.7727,0.5486,0.1749
7,0.1310,0.1994,0.6296,0.8826,0.9501,0.8044,0.4099,0.1010
8,0.1192,0.1456,0.6766,0.9206,0.9602,0.8276,0.5154,0.1590
9,0.1030,0.1280,0.6763,0.9328,0.9578,0.8435,0.4818,0.1656
10,0.0889,0.1293,0.6823,0.9421,0.9542,0.8151,0.4824,0.2176
